"","Species","Genus","Family","meanWD","WD_level","IUCN"
"144","Urera_hypselodendron","Urera","Urticaceae",0.323555555555556,"genus",NA
"145","Desbordesia_glaucescens","Desbordesia","Irvingiaceae",0.931,"genus",NA
"146","Diogoa_zenkeri","Diogoa","Olacaceae",0.6955,"genus","LC"
"147","Lecomtedoxa_Klaineana","Lecomtedoxa","Sapotaceae",0.823090909090909,"genus",NA
"148","Oubanguia_alata","Oubanguia","Lecythidaceae",0.595714885285868,"dataset","LC"
"149","Strychnos_gnetifolia","Strychnos","Loganiaceae",0.689805555555556,"genus","VU"
"150","Uapaca_staudtii","Uapaca","Phyllanthaceae",0.626341558441558,"genus","LC"
"151","Uvariopsis_bakeriana","Uvariopsis","Annonaceae",0.595714885285868,"dataset","LC"
"152","Albizia_grandibracteata","Albizia","Fabaceae",0.556356916099773,"genus","LC"
"153","Diospyros_abyssinica","Diospyros","Ebenaceae",0.683275126262626,"genus","LC"
"154","Eucalyptus_grandis","Eucalyptus","Myrtaceae",0.830092581326441,"genus","NT"
"155","Markhamia_lutea","Markhamia","Bignoniaceae",0.590555555555556,"genus","LC"
"156","Olea_capensis","Olea","Olacaceae",0.743066137566138,"genus","LC"
"157","Pittosporum_viridiflorum","Pittosporum","Pittosporaceae",0.6135,"genus","LC"
"158","Polyscias_fulva","Polyscias","Araliaceae",0.381364583333333,"genus","LC"
"159","Premna_angolensis","Premna","Lamiaceae",0.601208333333333,"genus","LC"
"160","Prunus_africana","Prunus","Rosaceae",0.585666666666667,"genus","VU"
"161","Shirakiopsis_elliptica","Shirakiopsis","Euphorbiaceae",0.5115,"genus","LC"
"162","Bussea_occidentalis","Bussea","Fabaceae",0.791666666666667,"genus","LC"
"163","Albizia_altissima","Albizia","Fabaceae",0.556356916099773,"genus","LC"
"164","Holarrhena_floribunda","Holarrhena","Apocynaceae",0.592333333333333,"genus","LC"
"165","Manniophyton_fulvum","Manniophyton","Euphorbiaceae",0.595714885285868,"dataset",NA
"166","Millettia_rhodantha","Millettia","Fabaceae",0.696722222222222,"genus","LC"
"167","Newtonia_aubrevillei","Newtonia","Fabaceae",0.601662962962963,"genus",NA
"168","Piptadeniastrum_africanum","Piptadeniastrum","Fabaceae",0.605086956521739,"genus","LC"
"169","Albizia_dinklagei","Albizia","Fabaceae",0.556356916099773,"genus",NA
"170","Celtis_toka","Celtis","Cannabaceae",0.566228571428571,"genus","LC"
"171","Allophylus_ferrugineus","Allophylus","Sapindaceae",0.51775,"genus","LC"
"172","Bridelia_brideliifolia","Bridelia","Phyllanthaceae",0.555032738095238,"genus","LC"
"173","Carapa_grandiflora","Carapa","Meliaceae",0.552401785714286,"genus","LC"
"174","Cassine_peragua","Cassine","Celastraceae",0.721666666666667,"genus","LC"
"175","Cola_congolana","Cola","Malvaceae",0.612895833333333,"genus","LC"
"176","Drypetes_gerrardii","Drypetes","Putranjivaceae",0.69451282051282,"genus","LC"
"177","Ficus_oreodryadum","Ficus","Moraceae",0.405534661835749,"genus",NA
"178","Myrianthus_holstii","Myrianthus","Urticaceae",0.4495,"genus","LC"
"179","Mystroxylon_aethiopicum","Mystroxylon","Celastraceae",0.595714885285868,"dataset","LC"
"180","Olea_welwitschii","Olea","Olacaceae",0.743066137566138,"genus",NA
"181","Olinia_usambarensis","Olinia","Penaeaceae",0.739,"genus",NA
"182","Piper_capense","Piper","Piperaceae",0.3935,"genus","LC"
"183","Podocarpus_milanjianus","Podocarpus","Podocarpaceae",0.482998774509804,"genus","LC"
"184","Psychotria_palustris","Psychotria","Rubiaceae",0.5636,"genus",NA
"185","Myrsine_melanophloeos","Myrsine","Primulaceae",0.741037037037037,"genus",NA
"186","Rubus_steudneri","Rubus","Rosaceae",0.35,"genus",NA
"187","Rytigynia_kigeziensis","Rytigynia","Rubiaceae",0.595714885285868,"dataset","VU"
"188","Symphonia_globulifera","Symphonia","Clusiaceae",0.633128571428571,"genus","LC"
"189","Syzygium_guineense","Syzygium","Myrtaceae",0.664366666666667,"genus","LC"
"190","Triumfetta_tomentosa","Triumfetta","Malvaceae",0.595714885285868,"dataset",NA
"191","Aframomum_citratum","Aframomum","Zingiberaceae",0.595714885285868,"dataset","LC"
"192","Aframomum_longipetiolatum","Aframomum","Zingiberaceae",0.595714885285868,"dataset","LC"
"193","Antidesma_vogelianum","Antidesma","Euphorbiaceae",0.657533333333333,"genus",NA
"194","Allophylus_africanus","Allophylus","Sapindaceae",0.51775,"genus","LC"
"195","Angylocalyx_pynaertii","Angylocalyx","Fabaceae",0.595714885285868,"dataset","LC"
"196","Aoranthe_cladantha","Aoranthe","Rubiaceae",0.8065,"genus","LC"
"197","Anonidium_mannii","Anonidium","Annonaceae",0.291,"genus","LC"
"198","Chrysophyllum_africanum","Chrysophyllum","Sapotaceae",0.665168724279835,"genus","LC"
"199","Gambeya_subnuda","Gambeya","Sapotaceae",0.595714885285868,"dataset","LC"
"200","Cola_lizae","Cola","Malvaceae",0.612895833333333,"genus","NT"
"201","Pachylobus_normandii","Pachylobus","Burseraceae",0.595714885285868,"dataset",NA
"202","Barteria_nigritana","Barteria","Passifloraceae",0.595714885285868,"dataset","LC"
"203","Brachystegia_eurycoma","Brachystegia","Fabaceae",0.605521428571429,"genus","LC"
"204","Caloncoba_glauca","Caloncoba","Achariaceae",0.65,"genus",NA
"205","Caloncoba_welwitschii","Caloncoba","Achariaceae",0.65,"genus","LC"
"206","Celtis_adolfi-friderici","Celtis","Cannabaceae",0.566228571428571,"genus","LC"
"207","Dialium_zenkeri","Dialium","Fabaceae",0.812419230769231,"genus",NA
"208","Diospyros_dendo","Diospyros","Ebenaceae",0.683275126262626,"genus","LC"
"209","Diospyros_iturensis","Diospyros","Ebenaceae",0.683275126262626,"genus","LC"
"210","Diospyros_polystemon","Diospyros","Ebenaceae",0.683275126262626,"genus","LC"
"211","Diospyros_suaveolens","Diospyros","Ebenaceae",0.683275126262626,"genus","LC"
