"","X","Animal_Species","Animal_Species_Corrected","Animal_Family","Animal_Taxa_Type","Plant_Species","Plant_Species_Corrected","Plant_Family","Plant_Life_Form","Plant_Part_Exploited","Interaction_Type","Data_Collection","Study_Site","Lat","Long","Study_ID","Genus","spp","Interaction","meanWD","sdWD"
"31","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Klainedoxa gabonensis","Klainedoxa_gabonensis","Irvingiaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Klainedoxa","gabonensis",NA,0.917791666666667,0.0941339098036177
"32","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Klainedoxa macrocarpa","Klainedoxa_gabonensis","Irvingiaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Klainedoxa","gabonensis",NA,0.917791666666667,0.0941339098036177
"33","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Lacosperma secundiflorum","Laccosperma_secundiflorum","Arecaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Laccosperma","secundiflorum",NA,0.551760416666667,0.123401724247162
"35","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Lannea nigritiana","Lannea_nigritana","Anacardiaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Lannea","nigritana",NA,0.452416666666667,0.0941339098036177
"36","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Lannea welwitschii","Lannea_welwitschii","Anacardiaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Lannea","welwitschii",NA,0.452416666666667,0.0941339098036177
"37","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Lasiathera africana","Lasiathera_africana","Icacinaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Lasiathera","africana",NA,0.64475,0.123401724247162
"38","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Lepidobotrys staudtii","Lepidobotrys_staudtii","Lepidobotryaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Lepidobotrys","staudtii",NA,0.604229838423583,0.127340343754553
"39","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Maesopsis eminii","Maesopsis_eminii","Rhamnaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Maesopsis","eminii",NA,0.3835,0.0941339098036177
"40","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Maranthes glabra","Maranthes_glabra","Chrysobalanaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Maranthes","glabra",NA,0.830333333333333,0.0941339098036177
"41","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Margaritia discoidea","Margaritaria_discoidea","Phyllanthaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Margaritaria","discoidea",NA,0.673944444444444,0.0941339098036177
"42","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Milicia excelsa","Mildbraediodendron_excelsum","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Mildbraediodendron","excelsum",NA,0.702416608694313,0.123401724247162
"43","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Musanga cecropioides","Musanga_cecropioides","Urticaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Musanga","cecropioides",NA,0.242833333333333,0.0941339098036177
"44","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Petersianthus macrocarpus","Petersianthus_macrocarpus","Lecythidaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Petersianthus","macrocarpus",NA,0.60825,0.0941339098036177
"45","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Piptadeniastrum africanum","Piptadeniastrum_africanum","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Piptadeniastrum","africanum",NA,0.605086956521739,0.0941339098036177
"46","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Pteleopsis hylodendron","Pteleopsis_hylodendron","Combretaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Pteleopsis","hylodendron",NA,0.6095,0.0941339098036177
"47","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Pterocarpus mildbraedii","Pterocarpus_mildbraedii","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Pterocarpus","mildbraedii",NA,0.62688578042328,0.0941339098036177
"48","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Pterocarpus soyauxii","Pterocarpus_soyauxii","Fabaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Pterocarpus","soyauxii",NA,0.62688578042328,0.0941339098036177
"49","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Pycnanthus angolensis","Pycnanthus_angolensis","Myristicaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Pycnanthus","angolensis",NA,0.4089,0.0941339098036177
"50","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Raphia monbuttorum","Raphia_monbuttorum","Arecaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Raphia","monbuttorum",NA,0.551760416666667,0.123401724247162
"51","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Rauvolfia macrophylla","Rauvolfia_caffra","Apocynaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Rauvolfia","caffra",NA,0.486345238095238,0.0941339098036177
"52","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Santiria trimera","Santiria_trimera","Burseraceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Santiria","trimera",NA,0.5813,0.0941339098036177
"53","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Staudtia kamerunensis","Staudtia_kamerunensis","Myristicaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Staudtia","kamerunensis",NA,0.758509803921569,0.0941339098036177
"54","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Eribroma oblongum","Sterculia_oblonga","Malvaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Stericula","oblonga",NA,0.48873153604215,0.123401724247162
"55","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Strombosia pustulata","Strombosia_pustulata","Olacaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Strombosia","pustulata",NA,0.721306547619048,0.0941339098036177
"56","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Strombosiopsis tetrandra","Strombosiopsis_tetrandra","Olacaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Strombosiopsis","tetranda",NA,0.663,0.0941339098036177
"58","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Terminalia superba","Terminalia_superba","Combretaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Terminalia","superba",NA,0.6304967779212,0.0941339098036177
"60","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Trichilia welwitschii","Trichilia_welwitschii","Meliaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Trichilia","welwitschii",NA,0.644092948717949,0.0941339098036177
"61","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Trilepisium madagascariense","Trilepisium_madagascariense","Moraceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Trilepisium","madagascariense",NA,0.499,0.0941339098036177
"62","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Turraeanthus africanus","Turraeanthus_africanus","Meliaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Turraeanthus","africana",NA,0.4883,0.0941339098036177
"64","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Uapaca acuminata","Uapaca_acuminata","Phyllanthaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Uapaca","acuminata",NA,0.626341558441558,0.0941339098036177
"65","White-thighed_Hornbill","Bycanistes albotibialis","Bycanistes_albotibialis","Bucerotidae","Bird","Uapaca paludosa","Uapaca_mole","Phyllanthaceae","",NA,"Consumption","Observation","Dja Reserve","3""11'27'N","12""48'41'E","25","Uapaca","paludosa",NA,0.626341558441558,0.0941339098036177
"66","Grey_cheeked_hornbill","Bycanistes subcylindricus","Bycanistes_subcylindricus","Bucerotidae ","Bird","Ficus exasperata","Ficus_ampelos","Moraceae","Tree",NA,"Consumption","Observation ","Kibale National Park","0""13'-0""19'N ","30""19'-30""32'E","72","Ficus","ampelas",NA,0.405534661835749,0.0941339098036177
"67","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Alchornea cordifolia","Alchornea_cordifolia","Euphorbiaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Alchornea","cordifolia",NA,0.408433333333333,0.0941339098036177
"68","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Anopyxis klaineana","Anopyxis_klaineana","Rhizophoraceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Anopyxis","klaineana",NA,0.799909090909091,0.0941339098036177
"69","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Anthocleista schweinfurthii","Anthocleista_schweinfurthii","Gentianaceae","",NA,"Consumption","Rumen","Makokou","0""34'N","12""52'E","40","Anthocleista","schweinfurthii",NA,0.537777777777778,0.0941339098036177
"70","Peters_Duiker","Cephalophus callipygus","Cephalophus_callipygus","Bovidae","Ruminant","Antrocaryon klaineanum","Antrocaryon_klaineanum","Anacardiaceae","","Fruit","Dispersal","Rumen","Makokou","0""34'N","12""552'E","16","Antrocaryon","klaineanum","Mutualistic",0.498788888888889,0.0941339098036177
