"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Garcinia_smithii","Garcinia","Plant_200","Family_25"
"Pentadesma_butyracea","Pentadesma","Plant_201","Family_25"
"Pentadesma_grandifolia","Pentadesma","Plant_202","Family_25"
"Symphonia_globulifera","Symphonia","Plant_203","Family_25"
"Combretum_mossambicense","Combretum","Plant_204","Family_26"
"Combretum_zeyheri","Combretum","Plant_205","Family_26"
"Terminalia_catappa","Terminalia","Plant_206","Family_26"
"Terminalia_leiocarpa","Terminalia","Plant_207","Family_26"
"Terminalia_mollis","Terminalia","Plant_208","Family_26"
"Terminalia_myrtifolia","Terminalia","Plant_209","Family_26"
"Terminalia_spinosa","Terminalia","Plant_210","Family_26"
"Jollydora_duparquetiana","Jollydora","Plant_211","Family_27"
"Rourea_orientalis","Rourea","Plant_212","Family_27"
"Rourea_parviflora","Rourea","Plant_213","Family_27"
"Ipomoea_aquatica","Ipomoea","Plant_214","Family_28"
"Ipomoea_biflora","Ipomoea","Plant_215","Family_28"
"Ipomoea_coptica","Ipomoea","Plant_216","Family_28"
"Ipomoea_crassipes","Ipomoea","Plant_217","Family_28"
"Ipomoea_eriocarpa","Ipomoea","Plant_218","Family_28"
"Ipomoea_lapathifolia","Ipomoea","Plant_219","Family_28"
"Ipomoea_mombassana","Ipomoea","Plant_220","Family_28"
"Ipomoea_obscura","Ipomoea","Plant_221","Family_28"
"Ipomoea_pileata","Ipomoea","Plant_222","Family_28"
"Ipomoea_venosa","Ipomoea","Plant_223","Family_28"
"Alangium_chinense","Alangium","Plant_224","Family_29"
"Cornus_volkensii","Cornus","Plant_225","Family_29"
"Cucumis_hirsutus","Cucumis","Plant_226","Family_30"
"Cucumis_melo","Cucumis","Plant_227","Family_30"
"Cucumis_sacleuxii","Cucumis","Plant_228","Family_30"
"Lagenaria_abyssinica","Lagenaria","Plant_229","Family_30"
"Zehneria_scabra","Zehneria","Plant_230","Family_30"
"Zehneria_thwaitesii","Zehneria","Plant_231","Family_30"
"Juniperus_procera","Juniperus","Plant_232","Family_31"
"Schoenoplectiella_articulata","Schoenoplectiella","Plant_233","Family_32"
"Scleria_microcarpa","Scleria","Plant_234","Family_32"
"Dichapetalum_barteri","Dichapetalum","Plant_235","Family_33"
"Dichapetalum_gabonense","Dichapetalum","Plant_236","Family_33"
"Tapura_fischeri","Tapura","Plant_237","Family_33"
"Dioscorea_sansibarensis","Dioscorea","Plant_238","Family_34"
"Diospyros_abyssinica","Diospyros","Plant_239","Family_35"
"Diospyros_bipindensis","Diospyros","Plant_240","Family_35"
"Diospyros_boala","Diospyros","Plant_241","Family_35"
"Diospyros_chevalieri","Diospyros","Plant_242","Family_35"
"Diospyros_cinnabarina","Diospyros","Plant_243","Family_35"
"Diospyros_crassiflora","Diospyros","Plant_244","Family_35"
