"Plant_Species_Corrected","Plant_Genus","Plant_Species_Generic","Plant_Family_Generic"
"Beilschmiedia_mannii","Beilschmiedia","Plant_445","Family_47"
"Beilschmiedia_troupinii","Beilschmiedia","Plant_446","Family_47"
"Beilschmiedia_ugandensis","Beilschmiedia","Plant_447","Family_47"
"Cryptocarya_liebertiana","Cryptocarya","Plant_448","Family_47"
"Hypodaphnis_zenkeri","Hypodaphnis","Plant_449","Family_47"
"Ocotea_gabonensis","Ocotea","Plant_450","Family_47"
"Ocotea_michelsonii","Ocotea","Plant_451","Family_47"
"Ocotea_usambarensis","Ocotea","Plant_452","Family_47"
"Persea_americana","Persea","Plant_453","Family_47"
"Brazzeia_congoensis","Brazzeia","Plant_454","Family_48"
"Napoleonaea_vogelii","Napoleonaea","Plant_455","Family_48"
"Oubanguia_africana","Oubanguia","Plant_456","Family_48"
"Oubanguia_alata","Oubanguia","Plant_457","Family_48"
"Petersianthus_macrocarpus","Petersianthus","Plant_458","Family_48"
"Scytopetalum_klaineanum","Scytopetalum","Plant_459","Family_48"
"Scytopetalum_pierreanum","Scytopetalum","Plant_460","Family_48"
"Scytopetalum_tieghemii","Scytopetalum","Plant_461","Family_48"
"Lepidobotrys_staudtii","Lepidobotrys","Plant_462","Family_49"
"Strychnos_congolana","Strychnos","Plant_463","Family_50"
"Strychnos_gnetifolia","Strychnos","Plant_464","Family_50"
"Strychnos_innocua","Strychnos","Plant_465","Family_50"
"Strychnos_madagascariensis","Strychnos","Plant_466","Family_50"
"Strychnos_mitis","Strychnos","Plant_467","Family_50"
"Abutilon_guineense","Abutilon","Plant_468","Family_51"
"Adansonia_digitata","Adansonia","Plant_469","Family_51"
"Bombax_buonopozense","Bombax","Plant_470","Family_51"
"Ceiba_pentandra","Ceiba","Plant_471","Family_51"
"Christiana_africana","Christiana","Plant_472","Family_51"
"Cola_acuminata","Cola","Plant_473","Family_51"
"Cola_attiensis","Cola","Plant_474","Family_51"
"Cola_bruneelii","Cola","Plant_475","Family_51"
"Cola_cauliflora","Cola","Plant_476","Family_51"
"Cola_chlamydantha","Cola","Plant_477","Family_51"
"Cola_cordifolia","Cola","Plant_478","Family_51"
"Cola_digitata","Cola","Plant_479","Family_51"
"Cola_diversifolia","Cola","Plant_480","Family_51"
"Cola_flavo-velutina","Cola","Plant_481","Family_51"
"Cola_gabonensis","Cola","Plant_482","Family_51"
"Cola_gigantea","Cola","Plant_483","Family_51"
"Cola_griseiflora","Cola","Plant_484","Family_51"
"Cola_lateritia","Cola","Plant_485","Family_51"
"Cola_lepidota","Cola","Plant_486","Family_51"
"Cola_lizae","Cola","Plant_487","Family_51"
"Cola_marsupium","Cola","Plant_488","Family_51"
"Cola_millenii","Cola","Plant_489","Family_51"
"Cola_nitida","Cola","Plant_490","Family_51"
"Cola_pachycarpa","Cola","Plant_491","Family_51"
"Cola_rostrata","Cola","Plant_492","Family_51"
"Desplatsia_dewevrei","Desplatsia","Plant_493","Family_51"
"Desplatsia_subericarpa","Desplatsia","Plant_494","Family_51"
"Dombeya_kirkii","Dombeya","Plant_495","Family_51"
"Dombeya_torrida","Dombeya","Plant_496","Family_51"
"Duboscia_macrocarpa","Duboscia","Plant_497","Family_51"
"Duboscia_viridiﬂora","Duboscia","Plant_498","Family_51"
"Grewia_coriacea","Grewia","Plant_499","Family_51"
"Grewia_hookeriana","Grewia","Plant_500","Family_51"
"Grewia_louisii","Grewia","Plant_501","Family_51"
"Grewia_mildbraedii","Grewia","Plant_502","Family_51"
"Grewia_mollis","Grewia","Plant_503","Family_51"
"Grewia_oligoneura","Grewia","Plant_504","Family_51"
"Grewia_pinnatifida","Grewia","Plant_505","Family_51"
"Grewia_rothii","Grewia","Plant_506","Family_51"
"Grewia_seretii","Grewia","Plant_507","Family_51"
"Hibiscus_articulatus","Hibiscus","Plant_508","Family_51"
"Hibiscus_cannabinus","Hibiscus","Plant_509","Family_51"
"Hibiscus_micranthus","Hibiscus","Plant_510","Family_51"
"Hildegardia_barteri","Hildegardia","Plant_511","Family_51"
"Leptonychia_batangensis","Leptonychia","Plant_512","Family_51"
"Leptonychia_echinocarpa","Leptonychia","Plant_513","Family_51"
"Leptonychia_mildbraedii","Leptonychia","Plant_514","Family_51"
"Microcos_coriacea","Microcos","Plant_515","Family_51"
"Microcos_pinnatifida","Microcos","Plant_516","Family_51"
"Nesogordonia_papaverifera","Nesogordonia","Plant_517","Family_51"
"Octolobus_spectabilis","Octolobus","Plant_518","Family_51"
"Pterygota_bequaertii","Pterygota","Plant_519","Family_51"
"Pterygota_mildbraedii","Pterygota","Plant_520","Family_51"
"Sida_acuta","Sida","Plant_521","Family_51"
"Sida_rhombifolia","Sida","Plant_522","Family_51"
"Sida_spinosa","Sida","Plant_523","Family_51"
"Sterculia_dawei","Sterculia","Plant_524","Family_51"
"Sterculia_oblonga","Sterculia","Plant_525","Family_51"
"Sterculia_rhinopetala","Sterculia","Plant_526","Family_51"
"Sterculia_tragacantha","Sterculia","Plant_527","Family_51"
"Triumfetta_cordifolia","Triumfetta","Plant_528","Family_51"
"Memecylon_afzelii","Memecylon","Plant_529","Family_52"
"Memecylon_lateriflorum","Memecylon","Plant_530","Family_52"
"Memecylon_polyanthemos","Memecylon","Plant_531","Family_52"
"Warneckea_cinnamomoides","Warneckea","Plant_532","Family_52"
"Warneckea_walikalensis","Warneckea","Plant_533","Family_52"
"Azadirachta_indica","Azadirachta","Plant_534","Family_53"
"Carapa_grandiflora","Carapa","Plant_535","Family_53"
"Carapa_procera","Carapa","Plant_536","Family_53"
"Ekebergia_capensis","Ekebergia","Plant_537","Family_53"
"Heckeldora_staudtii","Heckeldora","Plant_538","Family_53"
"Khaya_senegalensis","Khaya","Plant_539","Family_53"
"Leplaea_cedrata","Leplaea","Plant_540","Family_53"
"Leplaea_laurentii","Leplaea","Plant_541","Family_53"
"Leplaea_mayombensis","Leplaea","Plant_542","Family_53"
"Leplaea_thompsonii","Leplaea","Plant_543","Family_53"
"Lovoa_trichilioides","Lovoa","Plant_544","Family_53"
"Trichilia_drageana","Trichilia","Plant_545","Family_53"
"Trichilia_emetica","Trichilia","Plant_546","Family_53"
"Trichilia_gilgiana","Trichilia","Plant_547","Family_53"
"Trichilia_gilletii","Trichilia","Plant_548","Family_53"
"Trichilia_monadelpha","Trichilia","Plant_549","Family_53"
"Trichilia_prieuriana","Trichilia","Plant_550","Family_53"
"Trichilia_rubescens","Trichilia","Plant_551","Family_53"
"Trichilia_tessmannii","Trichilia","Plant_552","Family_53"
"Trichilia_welwitschii","Trichilia","Plant_553","Family_53"
"Turraeanthus_africanus","Turraeanthus","Plant_554","Family_53"
"Xymalos_monospora","Xymalos","Plant_555","Family_54"
"Grevea_eggelingii","Grevea","Plant_556","Family_55"
"Antiaris_toxicaria","Antiaris","Plant_557","Family_56"
"Broussonetia_papyrifera","Broussonetia","Plant_558","Family_56"
"Ficus_amadiensis","Ficus","Plant_559","Family_56"
"Ficus_ampelos","Ficus","Plant_560","Family_56"
"Ficus_angolensis","Ficus","Plant_561","Family_56"
"Ficus_artocarpoides","Ficus","Plant_562","Family_56"
"Ficus_asperifolia","Ficus","Plant_563","Family_56"
"Ficus_barteri","Ficus","Plant_564","Family_56"
"Ficus_bubu","Ficus","Plant_565","Family_56"
"Ficus_burretiana","Ficus","Plant_566","Family_56"
"Ficus_conraui","Ficus","Plant_567","Family_56"
"Ficus_craterostoma","Ficus","Plant_568","Family_56"
"Ficus_cyathistipula","Ficus","Plant_569","Family_56"
"Ficus_densistipulata","Ficus","Plant_570","Family_56"
"Ficus_dicranostyla","Ficus","Plant_571","Family_56"
"Ficus_elasticoides","Ficus","Plant_572","Family_56"
"Ficus_exasperata","Ficus","Plant_573","Family_56"
"Ficus_ingens","Ficus","Plant_574","Family_56"
"Ficus_jansii","Ficus","Plant_575","Family_56"
"Ficus_kamerunensis","Ficus","Plant_576","Family_56"
"Ficus_lingua","Ficus","Plant_577","Family_56"
"Ficus_louisii","Ficus","Plant_578","Family_56"
"Ficus_lutea","Ficus","Plant_579","Family_56"
"Ficus_lyrata","Ficus","Plant_580","Family_56"
"Ficus_mucuso","Ficus","Plant_581","Family_56"
"Ficus_natalensis","Ficus","Plant_582","Family_56"
"Ficus_oreadryadum","Ficus","Plant_583","Family_56"
"Ficus_ottoniifolia","Ficus","Plant_584","Family_56"
"Ficus_ovata","Ficus","Plant_585","Family_56"
"Ficus_platyphylla","Ficus","Plant_586","Family_56"
"Ficus_polita","Ficus","Plant_587","Family_56"
"Ficus_pseudomangifera","Ficus","Plant_588","Family_56"
"Ficus_recurvata","Ficus","Plant_589","Family_56"
"Ficus_sagittifolia","Ficus","Plant_590","Family_56"
"Ficus_sansibarica","Ficus","Plant_591","Family_56"
"Ficus_saussureana","Ficus","Plant_592","Family_56"
"Ficus_scott-ellioti","Ficus","Plant_593","Family_56"
"Ficus_sur","Ficus","Plant_594","Family_56"
"Ficus_sycomorus","Ficus","Plant_595","Family_56"
"Ficus_thonningii","Ficus","Plant_596","Family_56"
"Ficus_tremula","Ficus","Plant_597","Family_56"
"Ficus_trichopoda","Ficus","Plant_598","Family_56"
"Ficus_umbellata","Ficus","Plant_599","Family_56"
"Ficus_vallis-choudae","Ficus","Plant_600","Family_56"
"Ficus_variifolia","Ficus","Plant_601","Family_56"
"Ficus_vogeliana","Ficus","Plant_602","Family_56"
"Ficus_wildemania","Ficus","Plant_603","Family_56"
"Milicia_excelsa","Milicia","Plant_604","Family_56"
"Milicia_regia","Milicia","Plant_605","Family_56"
"Morus_mesozygia","Morus","Plant_606","Family_56"
"Treculia_africana","Treculia","Plant_607","Family_56"
"Treculia_obovoidea","Treculia","Plant_608","Family_56"
"Trilepisium_madagascariense","Trilepisium","Plant_609","Family_56"
"Musa_paradisiaca","Musa","Plant_610","Family_57"
"Coelocaryon_botryoides","Coelocaryon","Plant_611","Family_58"
"Coelocaryon_oxycarpum","Coelocaryon","Plant_612","Family_58"
"Coelocaryon_preussii","Coelocaryon","Plant_613","Family_58"
"Pycnanthus_angolensis","Pycnanthus","Plant_614","Family_58"
"Scyphocephalium_mannii","Scyphocephalium","Plant_615","Family_58"
"Scyphocephalium_ochocoa","Scyphocephalium","Plant_616","Family_58"
"Staudtia_kamerunensis","Staudtia","Plant_617","Family_58"
"Eugenia_fernandopoana","Eugenia","Plant_618","Family_59"
"Eugenia_gilgii","Eugenia","Plant_619","Family_59"
"Eugenia_staudtii","Eugenia","Plant_620","Family_59"
"Psidium_guajava","Psidium","Plant_621","Family_59"
"Psidium_guineense","Psidium","Plant_622","Family_59"
"Syzygium_cordatum","Syzygium","Plant_623","Family_59"
"Syzygium_guineense","Syzygium","Plant_624","Family_59"
"Syzygium_owariense","Syzygium","Plant_625","Family_59"
"Syzygium_rowlandii","Syzygium","Plant_626","Family_59"
"Ochna_afzelii","Ochna","Plant_627","Family_60"
"Coula_edulis","Coula","Plant_628","Family_61"
"Diogoa_zenkeri","Diogoa","Plant_629","Family_61"
"Heisteria_parvifolia","Heisteria","Plant_630","Family_61"
"Heisteria_zimmereri","Heisteria","Plant_631","Family_61"
"Octoknema_borealis","Octoknema","Plant_632","Family_61"
"Olax_subscorpioidea","Olax","Plant_633","Family_61"
"Ongokea_gore","Ongokea","Plant_634","Family_61"
"Ptychopetalum_petiolatum","Ptychopetalum","Plant_635","Family_61"
"Strombosia_grandifolia","Strombosia","Plant_636","Family_61"
"Strombosia_nigropunctata","Strombosia","Plant_637","Family_61"
"Strombosia_pustulata","Strombosia","Plant_638","Family_61"
"Strombosia_scheffleri","Strombosia","Plant_639","Family_61"
"Strombosia_zenkeri","Strombosia","Plant_640","Family_61"
"Strombosiopsis_tetrandra","Strombosiopsis","Plant_641","Family_61"
"Ximenia_americana","Ximenia","Plant_642","Family_61"
"Chionanthus_africanus","Chionanthus","Plant_643","Family_62"
"Jasminum_abyssinicum","Jasminum","Plant_644","Family_62"
"Olea_capensis","Olea","Plant_645","Family_62"
"Olea_hochstetteri","Olea","Plant_646","Family_62"
"Olea_welwitschii","Olea","Plant_647","Family_62"
"Microdesmis_puberula","Microdesmis","Plant_648","Family_63"
"Panda_oleosa","Panda","Plant_649","Family_63"
"Adenia_cissampeloides","Adenia","Plant_650","Family_64"
"Barteria_dewevrei","Barteria","Plant_651","Family_64"
"Barteria_fistulosa","Barteria","Plant_652","Family_64"
"Barteria_nigritana","Barteria","Plant_653","Family_64"
"Barteria_solida","Barteria","Plant_654","Family_64"
"Paropsia_grewioides","Paropsia","Plant_655","Family_64"
"Smeathmannia_pubescens","Smeathmannia","Plant_656","Family_64"
"Tricliceras_brevicaule","Tricliceras","Plant_657","Family_64"
"Olinia_rochetiana","Olinia","Plant_658","Family_65"
"Olinia_usambarensis","Olinia","Plant_659","Family_65"
"Balthasaria_schliebenii","Balthasaria","Plant_660","Family_66"
"Antidesma_laciniatum","Antidesma","Plant_661","Family_67"
"Antidesma_vogelianum","Antidesma","Plant_662","Family_67"
"Bischofia_javanica","Bischofia","Plant_663","Family_67"
"Bridelia_brideliifolia","Bridelia","Plant_664","Family_67"
"Bridelia_ferruginea","Bridelia","Plant_665","Family_67"
"Bridelia_grandis","Bridelia","Plant_666","Family_67"
"Bridelia_micrantha","Bridelia","Plant_667","Family_67"
"Bridelia_speciosa","Bridelia","Plant_668","Family_67"
"Cleistanthus_michelsonii","Cleistanthus","Plant_669","Family_67"
"Cleistanthus_polystachyus","Cleistanthus","Plant_670","Family_67"
"Flueggea_virosa","Flueggea","Plant_671","Family_67"
"Hymenocardia_acida","Hymenocardia","Plant_672","Family_67"
"Keayodendron_bridelioides","Keayodendron","Plant_673","Family_67"
"Maesobotrya_barteri","Maesobotrya","Plant_674","Family_67"
"Maesobotrya_bertramiana","Maesobotrya","Plant_675","Family_67"
"Maesobotrya_klaineana","Maesobotrya","Plant_676","Family_67"
"Maesobotrya_staudtii","Maesobotrya","Plant_677","Family_67"
"Margaritaria_discoidea","Margaritaria","Plant_678","Family_67"
"Phyllanthus_polyanthus","Phyllanthus","Plant_679","Family_67"
"Protomegabaria_stapfiana","Protomegabaria","Plant_680","Family_67"
"Pseudolachnostylis_maprouneifolia","Pseudolachnostylis","Plant_681","Family_67"
"Spondianthus_preussii","Spondianthus","Plant_682","Family_67"
"Uapaca_acuminata","Uapaca","Plant_683","Family_67"
"Uapaca_guineensis","Uapaca","Plant_684","Family_67"
"Uapaca_heudelotii","Uapaca","Plant_685","Family_67"
"Uapaca_pynaertii","Uapaca","Plant_686","Family_67"
"Uapaca_sansibarica","Uapaca","Plant_687","Family_67"
"Uapaca_staudtii","Uapaca","Plant_688","Family_67"
"Uapaca_togoensis","Uapaca","Plant_689","Family_67"
"Uapaca_vanhouttei","Uapaca","Plant_690","Family_67"
"Phytolacca_dodecandra","Phytolacca","Plant_691","Family_68"
"Oldfieldia_africana","Oldfieldia","Plant_692","Family_69"
"Piper_guineense","Piper","Plant_693","Family_70"
"Pittosporum_viridiflorum","Pittosporum","Plant_694","Family_71"
"Brachiaria_deflexa","Brachiaria","Plant_695","Family_72"
"Brachiaria_xantholeuca","Brachiaria","Plant_696","Family_72"
"Cynodon_dactylon","Cynodon","Plant_697","Family_72"
"Deschampsia_cespitosa","Deschampsia","Plant_698","Family_72"
"Dichanthelium_dichotomum","Dichanthelium","Plant_699","Family_72"
"Digitaria_leucites","Digitaria","Plant_700","Family_72"
"Digitaria_milanjiana","Digitaria","Plant_701","Family_72"
"Eleusine_indica","Eleusine","Plant_702","Family_72"
"Eriochloa_barbatus","Eriochloa","Plant_703","Family_72"
"Hordeum_vulgare","Hordeum","Plant_704","Family_72"
"Hyparrhenia_filipendula","Hyparrhenia","Plant_705","Family_72"
"Leptochloa_panicea","Leptochloa","Plant_706","Family_72"
"Megathyrsus_infestus","Megathyrsus","Plant_707","Family_72"
"Oryza_punctata","Oryza","Plant_708","Family_72"
"Poa_infirma","Poa","Plant_709","Family_72"
"Setaria_incrassata","Setaria","Plant_710","Family_72"
"Sorghum_arundinaceum","Sorghum","Plant_711","Family_72"
"Sorghum_veriscolor","Sorghum","Plant_712","Family_72"
"Sporobolus_fimbriatus","Sporobolus","Plant_713","Family_72"
"Sporobolus_ioclados","Sporobolus","Plant_714","Family_72"
"Sporobolus_pyramidalis","Sporobolus","Plant_715","Family_72"
"Themeda_triandra","Themeda","Plant_716","Family_72"
"Tricholaena_monachne","Tricholaena","Plant_717","Family_72"
"Urochloa_brizantha","Urochloa","Plant_718","Family_72"
"Urochloa_trichopus","Urochloa","Plant_719","Family_72"
"Podocarpus_milanjianus","Podocarpus","Plant_720","Family_73"
"Embelia_schimperi","Embelia","Plant_721","Family_74"
"Maesa_lanceolata","Maesa","Plant_722","Family_74"
"Rapanea_melanophloeos","Rapanea","Plant_723","Family_74"
"Drypetes_aframensis","Drypetes","Plant_724","Family_75"
"Drypetes_angustifolia","Drypetes","Plant_725","Family_75"
"Drypetes_aubrevillei","Drypetes","Plant_726","Family_75"
"Drypetes_bipindensis","Drypetes","Plant_727","Family_75"
"Drypetes_capillipes","Drypetes","Plant_728","Family_75"
"Drypetes_chevalieri","Drypetes","Plant_729","Family_75"
"Drypetes_cinnabarina","Drypetes","Plant_730","Family_75"
"Drypetes_diopa","Drypetes","Plant_731","Family_75"
"Drypetes_floribunda","Drypetes","Plant_732","Family_75"
"Drypetes_gerrardii","Drypetes","Plant_733","Family_75"
"Drypetes_gilgiana","Drypetes","Plant_734","Family_75"
"Drypetes_gossweileri","Drypetes","Plant_735","Family_75"
"Drypetes_inaequalis","Drypetes","Plant_736","Family_75"
"Drypetes_ivorensis","Drypetes","Plant_737","Family_75"
"Drypetes_klainei","Drypetes","Plant_738","Family_75"
"Drypetes_laciniata","Drypetes","Plant_739","Family_75"
"Drypetes_leonensis","Drypetes","Plant_740","Family_75"
"Drypetes_occidentalis","Drypetes","Plant_741","Family_75"
"Drypetes_pellegrini","Drypetes","Plant_742","Family_75"
"Drypetes_spinosodentata","Drypetes","Plant_743","Family_75"
"Maesopsis_eminii","Maesopsis","Plant_744","Family_76"
"Phyllogeiton_discolor","Phyllogeiton","Plant_745","Family_76"
"Rhamnus_prinoides","Rhamnus","Plant_746","Family_76"
"Anopyxis_klaineana","Anopyxis","Plant_747","Family_77"
"Cassipourea_barteri","Cassipourea","Plant_748","Family_77"
"Cassipourea_gummiflua","Cassipourea","Plant_749","Family_77"
"Cassipourea_ruwenzoriensis","Cassipourea","Plant_750","Family_77"
"Hagenia_abyssinica","Hagenia","Plant_751","Family_78"
"Prunus_africana","Prunus","Plant_752","Family_78"
"Rubus_apetalus","Rubus","Plant_753","Family_78"
"Aidia_genipiflora","Aidia","Plant_754","Family_79"
"Aidia_micrantha","Aidia","Plant_755","Family_79"
"Aoranthe_cladantha","Aoranthe","Plant_756","Family_79"
"Bertiera_aethiopica","Bertiera","Plant_757","Family_79"
"Brenania_brieyi","Brenania","Plant_758","Family_79"
"Brenania_rhomboideifolia","Brenania","Plant_759","Family_79"
"Bullockia_setiflora","Bullockia","Plant_760","Family_79"
"Canthium_oligocarpum","Canthium","Plant_761","Family_79"
"Chassalia_subochreata","Chassalia","Plant_762","Family_79"
"Coffea_eugenioides","Coffea","Plant_763","Family_79"
"Colletoecema_dewevrei","Colletoecema","Plant_764","Family_79"
"Craterispermum_caudatum","Craterispermum","Plant_765","Family_79"
"Craterispermum_cerinanthum","Craterispermum","Plant_766","Family_79"
"Craterispermum_laurinum","Craterispermum","Plant_767","Family_79"
"Craterispermum_schweinfurthii","Craterispermum","Plant_768","Family_79"
"Cremaspora_triflora","Cremaspora","Plant_769","Family_79"
"Crossopteryx_febrifuga","Crossopteryx","Plant_770","Family_79"
"Dictyandra_arborescens","Dictyandra","Plant_771","Family_79"
"Empogona_breteleri","Empogona","Plant_772","Family_79"
"Empogona_gossweileri","Empogona","Plant_773","Family_79"
"Empogona_macrophylla","Empogona","Plant_774","Family_79"
"Fleroya_ledermannii","Fleroya","Plant_775","Family_79"
"Galiniera_saxifraga","Galiniera","Plant_776","Family_79"
"Gardenia_aqualla","Gardenia","Plant_777","Family_79"
"Ixora_burundiensis","Ixora","Plant_778","Family_79"
"Keetia_venosa","Keetia","Plant_779","Family_79"
"Massularia_acuminata","Massularia","Plant_780","Family_79"
"Meyna_tetraphylla","Meyna","Plant_781","Family_79"
"Mitragyna_stipulosa","Mitragyna","Plant_782","Family_79"
"Morinda_lucida","Morinda","Plant_783","Family_79"
"Morinda_morindoides","Morinda","Plant_784","Family_79"
"Mussaenda_debeauxii","Mussaenda","Plant_785","Family_79"
"Nauclea_diderrichii","Nauclea","Plant_786","Family_79"
"Nauclea_gilletii","Nauclea","Plant_787","Family_79"
"Nauclea_latifolia","Nauclea","Plant_788","Family_79"
"Nauclea_pobeguinii","Nauclea","Plant_789","Family_79"
"Nauclea_vanderguchtii","Nauclea","Plant_790","Family_79"
"Nauclea_xanthoxylon","Nauclea","Plant_791","Family_79"
"Neonauclea_excelsa","Neonauclea","Plant_792","Family_79"
"Oxyanthus_racemosus","Oxyanthus","Plant_793","Family_79"
"Oxyanthus_speciosus","Oxyanthus","Plant_794","Family_79"
"Oxyanthus_unilocularis","Oxyanthus","Plant_795","Family_79"
"Pavetta_fascifolia","Pavetta","Plant_796","Family_79"
"Pavetta_oliveriana","Pavetta","Plant_797","Family_79"
"Psychotria_camptopus","Psychotria","Plant_798","Family_79"
"Psychotria_lauracea","Psychotria","Plant_799","Family_79"
"Psychotria_mahonii","Psychotria","Plant_800","Family_79"
"Psychotria_orophila","Psychotria","Plant_801","Family_79"
"Psychotria_peduncularis","Psychotria","Plant_802","Family_79"
"Psychotria_vogeliana","Psychotria","Plant_803","Family_79"
"Psydrax_arnoldiana","Psydrax","Plant_804","Family_79"
"Psydrax_parviflora","Psydrax","Plant_805","Family_79"
"Psydrax_subcordata","Psydrax","Plant_806","Family_79"
"Rutidea_dupuisii","Rutidea","Plant_807","Family_79"
"Rytigynia_canthioides","Rytigynia","Plant_808","Family_79"
"Rytigynia_kigeziensis","Rytigynia","Plant_809","Family_79"
"Rytigynia_umbellulata","Rytigynia","Plant_810","Family_79"
"Sarcocephalus_latifolius","Sarcocephalus","Plant_811","Family_79"
"Sarcocephalus_pobeguinii","Sarcocephalus","Plant_812","Family_79"
"Sericanthe_leonardii","Sericanthe","Plant_813","Family_79"
"Spermacoce_sphaerostigma","Spermacoce","Plant_814","Family_79"
"Vangueria_apiculata","Vangueria","Plant_815","Family_79"
"Afraegle_paniculata","Afraegle","Plant_816","Family_80"
"Fagaropsis_angolensis","Fagaropsis","Plant_817","Family_80"
"Harrisonia_abyssinica","Harrisonia","Plant_818","Family_80"
"Toddalia_asiatica","Toddalia","Plant_819","Family_80"
"Vepris_nobilis","Vepris","Plant_820","Family_80"
"Vepris_soyauxii","Vepris","Plant_821","Family_80"
"Vepris_stolzii","Vepris","Plant_822","Family_80"
"Vepris_trichocarpa","Vepris","Plant_823","Family_80"
"Zanthoxylum_gilletii","Zanthoxylum","Plant_824","Family_80"
"Zanthoxylum_heitzii","Zanthoxylum","Plant_825","Family_80"
"Zanthoxylum_leprieuri","Zanthoxylum","Plant_826","Family_80"
"Casearia_barteri","Casearia","Plant_827","Family_81"
"Casearia_battiscombei","Casearia","Plant_828","Family_81"
"Casearia_engleri","Casearia","Plant_829","Family_81"
"Dovyalis_abyssinica","Dovyalis","Plant_830","Family_81"
"Dovyalis_macrocalyx","Dovyalis","Plant_831","Family_81"
"Dovyalis_zenkeri","Dovyalis","Plant_832","Family_81"
"Flacourtia_indica","Flacourtia","Plant_833","Family_81"
"Oncoba_brevipes","Oncoba","Plant_834","Family_81"
"Oncoba_crepiniana","Oncoba","Plant_835","Family_81"
"Oncoba_dentata","Oncoba","Plant_836","Family_81"
"Oncoba_glauca","Oncoba","Plant_837","Family_81"
"Oncoba_mannii","Oncoba","Plant_838","Family_81"
"Oncoba_routledgei","Oncoba","Plant_839","Family_81"
"Oncoba_spinosa","Oncoba","Plant_840","Family_81"
"Oncoba_welwitschii","Oncoba","Plant_841","Family_81"
"Okoubaka_aubrevillei","Okoubaka","Plant_842","Family_82"
"Allophylus_abyssinicus","Allophylus","Plant_843","Family_83"
"Allophylus_africanus","Allophylus","Plant_844","Family_83"
"Allophylus_ferrugineus","Allophylus","Plant_845","Family_83"
"Allophylus_kiwuensis","Allophylus","Plant_846","Family_83"
"Allophylus_pseudopaniculatus","Allophylus","Plant_847","Family_83"
"Aporrhiza_paniculata","Aporrhiza","Plant_848","Family_83"
"Blighia_sapida","Blighia","Plant_849","Family_83"
"Blighia_unijugata","Blighia","Plant_850","Family_83"
"Blighia_welwitschii","Blighia","Plant_851","Family_83"
"Chytranthus_angustifolius","Chytranthus","Plant_852","Family_83"
"Chytranthus_atroviolaceus","Chytranthus","Plant_853","Family_83"
"Chytranthus_carneus","Chytranthus","Plant_854","Family_83"
"Chytranthus_gilletii","Chytranthus","Plant_855","Family_83"
"Chytranthus_macrobotrys","Chytranthus","Plant_856","Family_83"
"Chytranthus_talbotii","Chytranthus","Plant_857","Family_83"
"Eriocoelum_macrocarpum","Eriocoelum","Plant_858","Family_83"
"Eriocoelum_microspermum","Eriocoelum","Plant_859","Family_83"
"Eriocoelum_oblongum","Eriocoelum","Plant_860","Family_83"
"Ganophyllum_giganteum","Ganophyllum","Plant_861","Family_83"
"Haplocoelum_inoploeum","Haplocoelum","Plant_862","Family_83"
"Lecaniodiscus_cupanioides","Lecaniodiscus","Plant_863","Family_83"
"Lepisanthes_senegalensis","Lepisanthes","Plant_864","Family_83"
"Pancovia_bijuga","Pancovia","Plant_865","Family_83"
"Pancovia_laurentii","Pancovia","Plant_866","Family_83"
"Pancovia_turbinata","Pancovia","Plant_867","Family_83"
"Placodiscus_boya","Placodiscus","Plant_868","Family_83"
"Placodiscus_paniculatus","Placodiscus","Plant_869","Family_83"
"Tridesmostemon_omphalocarpoides","Tridesmostemon","Plant_870","Family_83"
"Zanha_golungensis","Zanha","Plant_871","Family_83"
"Afrosersalisia_rwandense","Afrosersalisia","Plant_872","Family_84"
"Aningeria_altissima","Aningeria","Plant_873","Family_84"
"Aubregrinia_taiensis","Aubregrinia","Plant_874","Family_84"
"Autranella_congolensis","Autranella","Plant_875","Family_84"
"Baillonella_toxisperma","Baillonella","Plant_876","Family_84"
"Breviea_sericea","Breviea","Plant_877","Family_84"
"Chrysophyllum_africanum","Chrysophyllum","Plant_878","Family_84"
"Chrysophyllum_albidum","Chrysophyllum","Plant_879","Family_84"
"Chrysophyllum_beguei","Chrysophyllum","Plant_880","Family_84"
"Chrysophyllum_boukokoense","Chrysophyllum","Plant_881","Family_84"
"Chrysophyllum_gorungosanum","Chrysophyllum","Plant_882","Family_84"
"Chrysophyllum_lacourtianum","Chrysophyllum","Plant_883","Family_84"
"Chrysophyllum_ogoouense","Chrysophyllum","Plant_884","Family_84"
"Chrysophyllum_perpulchrum","Chrysophyllum","Plant_885","Family_84"
"Chrysophyllum_pruniforme","Chrysophyllum","Plant_886","Family_84"
"Chrysophyllum_subnudum","Chrysophyllum","Plant_887","Family_84"
"Chrysophyllum_taiense","Chrysophyllum","Plant_888","Family_84"
"Chrysophyllum_ubangiense","Chrysophyllum","Plant_889","Family_84"
"Chrysophyllum_welwitschii","Chrysophyllum","Plant_890","Family_84"
"Englerophytum_oblanceolatum","Englerophytum","Plant_891","Family_84"
"Gambeya_albida","Gambeya","Plant_892","Family_84"
"Gambeya_gorungosana","Gambeya","Plant_893","Family_84"
"Inhambanella_guereensis","Inhambanella","Plant_894","Family_84"
"Lecomtedoxa_Klaineana","Lecomtedoxa","Plant_895","Family_84"
"Malacantha_alnifolia","Malacantha","Plant_896","Family_84"
"Manilkara_butugi","Manilkara","Plant_897","Family_84"
