"","Species","Genus","Family","Body_Mass","Generation_Length","IUCN_Status","Habitat","Taxa"
"109","Eurillas_gracilis","Eurillas","Pycnonotidae",24,3.7,"LC","Mixed","Small_birds"
"110","Eurillas_latirostris","Eurillas","Pycnonotidae",30,3.7,"LC","Mixed","Small_birds"
"111","Eurillas_virens","Eurillas","Pycnonotidae",26,3.7,"LC","Mixed","Small_birds"
"112","Funisciurus_anerythrus","Funisciurus","Sciuridae",300,3.5,"LC","Mixed","Rodents"
"113","Funisciurus_isabella","Funisciurus","Sciuridae",100,3.5,"LC","Forest","Rodents"
"114","Funisciurus_pyrropus","Funisciurus","Sciuridae",700,3.5,"LC","Mixed","Rodents"
"115","Galagoides_demidoff","Galagoides","Galagidae",300,4.737233889,"LC","Forest","Monkeys"
"116","Gallirex_johnstoni","Gallirex","Musophagidae",230,3.3,"LC","Forest","Large_birds"
"117","Genetta_maculata","Genetta","Viverridae",2230,4,"LC","Mixed","Carnivore"
"118","Gorilla_beringei","Gorilla","Hominidae",133000,20,"CR","Forest","Apes"
"119","Gorilla_gorilla","Gorilla","Hominidae",133000,22,"CR","Forest","Apes"
"120","Grafisia_torquata","Grafisia","Sturnidae",64,4.1,"LC","Mixed","Small_birds"
"121","Grammomys_poensis","Grammomys","Muridae",50,1.5,"LC","Mixed","Rodents"
"122","Gymnobucco_bonapartei","Gymnobucco","Lybiidae",45,8.5,"LC","Forest","Small_birds"
"123","Gymnobucco_calvus","Gymnobucco","Lybiidae",60,8.5,"LC","Mixed","Small_birds"
"124","Gymnobucco_cinereiceps","Gymnobucco","Lybiidae",65,8.5,"LC","Forest","Small_birds"
"125","Gymnobucco_peli","Gymnobucco","Lybiidae",50,8.5,"LC","Mixed","Small_birds"
"126","Gypohierax_angolensis","Gypohierax","Accipitridae",1600,17.3,"LC","Mixed","Large_birds"
"127","Hedydipna_collaris","Hedydipna","Nectariniidae",7.5,5.7,"LC","Mixed","Small_birds"
"128","Heimyscus_fumosus","Heimyscus","Muridae",70,1.5,"LC","Forest","Rodents"
"129","Heliosciurus_rufobrachium","Heliosciurus","Sciuridae",325,3.5,"LC","Mixed","Rodents"
"130","Horizocerus_albocristatus","Horizocerus","Bucerotidae",270,8,"LC","Forest","Large_birds"
"131","Horizocerus_cassini","Horizocerus","Bucerotidae",270,8,"LC","Forest","Large_birds"
"132","Hybomys_univittatus","Hybomys","Muridae",70,1.5,"LC","Forest","Rodents"
"133","Hyemoschus_aquaticus","Hyemoschus","Tragulidae",15000,5.5,"LC","Forest","Ungulate"
"134","Hylia_prasina","Hylia","Hyliidae",13,3.6,"LC","Mixed","Small_birds"
"135","Hyliota_violacea","Hyliota","Hyliotidae",15,3.6,"LC","Forest","Small_birds"
